cid,text,amp_prob
7095110184750007041,OMG naiiyak ako I'm proud of my president BBM you deserved to be a president 🙏🙏🙏,
7095058470777094913,sure win bbm❤✌,
7095110480884155138,we deserve ü as president BBM 🥰🥰,
7095110734060815105,sir i cant help but cry. Gods time is always perfect.,
7095108408444977921,what a tears of joy while watching this🙏🙏✌️✌️,
7095070296046666497,nice,
7095065505752662785,parang victory party! nakakaiyak!,
7095096324261413634,Meralco lang ang matindi nating kalaban..,
7095097469167567617,Nkakaiyak tlg....,
7095111468206801665,IBA KA TONI IKAW NA TALAGA. MABUHAY UNITEAM,
7095100375229137666,grabi pinapanuod ko lng piro pumtak kuha ko sa tuwa di k dn alm kng bkt bbm Sarah 4 win,
7095110506071278337,Ms Toni Naman piniiiyak mo Naman Ako 😭😭 ilove you bbm and Sara♥️💚🇵🇭,
7095111343258944258,babalik na ang Marcos sa Malacanang 🥰🥰🥰🥰🥰,
7095087697010049793,bakit nakakaiyak to!❤🥺,
7095087533897630465,yes na yes tayo diyan,
7095112708009460482,Jusko! Goosebumps 🥰 ipanalo natin to ❤️💚,
7095097977307972378,Tama walang tulugan baka ma gaya na naman 6 years ago. congratulations in advance #BBMSARAH❤️💚,
7095112283823031042,kitang kita sa kanya ang pagmamahal niya sa flag ng pilipinas at sa mga tao🥺🥰,
7095059795132384002,panalo na tlga bbm-sarah🙏🙏🙏,
7095112922804437761,Love you President BBM N VICE PResident SARA♥️💚👊✌️isang tulog na lng My president! 🥰♥️💚👊✌️,
7095109675477533442,Iboto po nten bbm sarrah para makapag cebu kmi🥰 pusta ng asawa ko saken hahaha,
7095072902206276354,Ano ba yan sa intro palang naiyal na ako 💞,
7095059271527875329,sana xa manalo 🙏,
7095106430805754626,Nakakaiyak naman 😭 ipagppray namin na manalo ka BBM 🙏🙏🙏 God bless you 😇,
7095111653817205506,"Bsta nagsasalita ka pap's naninindig balahibo 🥰🥰
We love u pap's 🥰🥰",
7095105068068438785,ipagdasal Kita 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,
7095111598842790658,wla na panalo na talaga sya papa BBM😅💚❤️,
7095109608003896065,yes cgurado n tyo jan wag lng tlga dadayain,
7095111785774220033,i-ready na ang generator di tayo cgurado sa meralco! walang tulugan talaga yan protektahan natin BBM-Sara Uniteam!💚❤✌👊🇵🇭,
7095112514404614913,Wlng mattulog at wag mag bbrownout,
7095111071081972482,Naiiyak ako sobrang excited ko na pong masaksihan bilang isang first time na botante may matapang na leader at totoo,
7095100362344334081,Omg nakakakilabot! ❤️💚❤️💚,
7095112176847061762,"habang pinapanuod ko naluluha ako sa galak , sobrang,saya ng puso ko, God bless you BBM 🥰😭✌️✌️☺️",
7095109456593535745,uuwi ako ng pilipinas na marcos ang presidente 🥰🥰🥰🥰🥰,
7095111268620976898,"bakit ako naiiyak , overwhelming tlga",
7095105843699745537,Sana naman po lord bigyan mo po kami ng tamang tao para mag lead sa bansang ito kagaya po ng pinanlo nyo po si tatayd,
7095111397880742658,Pag introduce palang ni toni maka hilak na 🥰,
7095110293184955138,nakakakilabot grave ang saya lord sana ito n ung panalo🙏🙏🙏🙏🙏🙏🙏🙏🙏,
7095111851121984257,galing ni Toni G 😍😍😍,
7095093187450241793,nakakaiyak naman..❤💚❤💚,
7095112566103573250,ito ttoo rally ung kabila asap lht artista andon😂,
7095095115634672386,Naiiyak ako ng madinig to! Congratulations in advance!,
7095061951084675841,walang tulogan😅😂🥰.salamat ka uniteam🥰,
7095095198434771714,Naiiyak ako 🥰🥰🥰🥰🥺🥺🥺🥺,
7095110940676375297,Naiiyak ako hindi ko alam bakit. I'm 20 yrs old and damang dama ko na kapag nanalo si BBM magbabago na ang Pilipinas🥺,
7095111877130339074,nakakaiyak🥰,
7095105579513053954,wag na po tayo matutulog para hindi na madaya uli ...kahit minsan hindi ko narinig nanira ng kalaban,
7095111097111692034,Patunayan mo na MALI lahat ng sinasabi nila tungkol kay Apo Lakay at sa Buong Pamilya mo ❤💚,
7095070984830976769,sure win na po yan bbm sarah.❤️❤️❤️❤️❤️💚💚💚💚💚🥰🥰🥰👏👏👏👏👏,
7095098896464757506,galing ni toni🥰🥰 wow👆👆,
7095110012922200833,goosebumps . panalo kana tatay bbm 🥰🥰,
7095099523269903105,ipanalo natin si APO BBM at Inday Sara mahalin natin Ang Pilipinas Mabuhay 🇵🇭♥️💚✌️👊,
7095100813722534658,Nakakiyak ..!!!,
7095110319848801026,yeeees panalo kana my PRESIDENT BBM ♥️,
7095110707674825474,naiiyak ako kahit replay lang,
7095091884137382657,baka may umiiyak nanaman😂😂😂😂😂,
7095105261828489985,naiyak ako sa saya...❤️💚,
7095109810358256385,toni vs buong channel 2 hhhaa😅😅😂😂😂toni sakalam BBM solid,
7095107186124571393,magaling talaga si toni🥰🥰🥰,
7095108296100791041,grabe ka toni.. hindi lang ako kinikilabutan..natulo p luha ko🥰🥰🥰 SOLIDDD BBMSARA PO KAMI PASAY HERE,
7095103722929685249,Nakita namin sya apaka class talaga promise🥺🥺🥰🥰🥰,
7095083384829641473,🥰🥰🥰🥰nakakaiyak,
7095111877826757378,Bravo Toni ang galing mo.❤️💚,
7095109119526945537,kinikilabutan aq ang saya promise!!!🥰🥰🥰🥰🥰🥰,
7095112960272155394,BBM N SARA SOLID PO..,
7095065888789611265,"Imagine how happy his father now🥺.. ""Son its the right time"" ✌🏻",
7095100447962891010,"malinis na kampanya!!
A leader who don't bring down others just to lift themselves up .. From the land of the pearl in Asia-- BBM- SD ❤️💚🇵🇭",
7038890881634026242,yan ang pres.@vp magkasundo .ndi ung siraan 😍😇❤❤💚💚✌👊,
7038888105961030402,ang cute 😂😂😂😂,
7039554378000663298,gnyan dapat. paki tag c leni. hnd puro pannra at galit ang tnatanim sa tao,
7039550136305124098,"maraming nagmamahal sayo, BBM🥰",
7039521713792566018,❤️❤️❤️,
7095095229841359618,Dont Forget ATTY.LARRY GADON for senator No.29 sa Balota♥️💚✌️👊,
7095104816904569602,THE SON OF TIGER OF ASIA WILL LEAD ONCE AGAIN THE 1702 ISLANDS OF THE PEARL OF OCEAN-BBM,
7095082412664750849,world class...,
7095082300777480961,Wow🥰🥰🥰🥰,
7095107036325036802,Victory party yarn ❤💚👊✌,
7095107439079179009,"🙏🏻thank you lord😁😘 for the guide and love to the pilipino people, always in your heart...",
7095225569163428609,🥺❤️❤️,
7095081847893705474,CHANGE IS NIGH. I can feel it! Marcos is back for unity and love! THE RISE OF THE REPUBLIC OF THE PHILIPPINES!,
7095239414720447233,Please dont forget to vote for Atty. Larry Gadon,
7095266927668495105,wow love it🥰 BBM SARAH for the win bukas na❤️🙏,
7095075635211191041,save the best for last🥰🥰🥰,
7095265470597120770,THE GOLDEN ERA IS COMING!!!!!!😭🙌💥💥,
7095299088665101057,meeting de avanci to victory party ✌️☕,
7095083198744527618,WE WIN AS ONE 🇵🇭☺️,
7095286197655864065,I'm proudly say I'm one of them,
7095229900726649602,The giant country has realized . congrats to all Filipino all over the 🌎🌎 raise your flag Filipino ❤️,
7095280998199837441,Edi si mark villar😁😁,
7095277129302344450,lovely..amazing🥰🥰🥰🥰🥰🥰,
7095280009682240257,Straight vote for Uniteam,
7095080576067502849,BBM forever,
7095291010053456641,advance merry Christmas ❤️✌️❤️👊🇵🇭🇵🇭🇵🇭🇵🇭,
7095350094560117505,wow🥰🥰🥰,
7095332335637807873,Advance celebration😄,
7095382099972621082,Nice🥰🥰🥰✌❤👊💚🇵🇭,
7095410370415919873,Victory party naba???,
7095354503062553345,❤💚 Let's go 👊🏿✌🏿,
7095302223265006338,another successful event of Uniteam!🥰,
7095320873170830082,THIS IS REALLY A HISTORY IN THE MAKING! ❤️💚 GOD BLESS THE PHILIPPINES SPECIALLY BBM & SARA AND THE REAT OF THE UNITEAM🙏🙏🙏,
7095312910255244033,wow grabi firstime in history may pa fire works SA presidential meeting Di abansi.,
7095283624697660162,ADVANCE VICTORY🥰🥰🥰,
7095367525286249217,BBM and Sarah soon leaders 🙏🙏🙏♥️✌️💚,
7095358537500705538,🥰🥰🥰🥰,
7095351707529757442,💚❤️💚❤️💚❤️💚,
7095412307568313090,🥰 wow amazing. ganda🥰💚❤️🎉🎉🎉🎉,
7095299243397055233,wow🥰🥰🥰🥰🥰,
7095451229442523906,♥️💚🙏🏻✌🏻,
7095298664826422017,VICTORY OF UNITEAM🥰,
7095401026866004737,🥰🥰,
7095330507869356802,thank you PHILIPPINE DRAGON FIREWORKS TEAM,
7095320956972843777,❤️❤️❤️,
7095289228720440066,💚❤️,
7095278983252263681,advance victory party🥰🥰🥰,
7095277986156872449,victory fireworks 🥰,
7095288521258205953,"pyromusical, who? 😁🥰",
7095287879190512386,For the WIN❤️💚👊✌️,
7095296349864461057,wow so amazing🥰🥰🥰🥰🇵🇭❤️💚❤️💚❤️✌️👊,
7095373307155399425,Victory🥰🥰🥰,
7095365870993801985,this is history in the making. BBM SARA FOR 2022.,
7095325493263844098,❤️💚❤️💚❤️💚,
7095280591511339778,Victory Fireworks,
7095279197107028737,"WOW....
❤️💚❤️💚❤️💚❤️",
7095275327706612481,SURE WIN NA THISSSSSS BBM-SARA FOR THE WINNNNN!!!!!,
7095268068502586113,Victory party❤️💚✨,
7095275238183387905,UNFORGETABLE,
7095297600060277506,victory party,
7095295706126254850,❤💚✌✊,
7095293359404778242,The best ang ganda 10minute fireworksss,
7095292608104809218,Happy new year😂😂,
7095291354212729602,grabe the wonderful worlds of disney yung fire works@ ang galing amazing,
7095288284645606146,Victory party 🤭❤️,
7095287995750204161,victory party de advance,
7095287718200460034,earlyyyy🍀❤❤❤❤,
7095286953964864257,🥰,
7095286395505574658,❤💚❤💚❤💚❤💚❤💚,
7095284825057280769,TRUEEEE,
7095284761593905922,disney land,
7095284763737162497,❤️💚✌️👊,
7095286639328625409,❤️💚,
7095269054772069122,❤️💚🥰🥰🥰,
7095296152836276993,goosebumps🥰,
7095335832005624577,Wowwwwwwwww🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,
7095396688336225026,BRING BACK MARCOS ✌️👊,
7095272368993846018,"d nayan meeting de advance😁🥰#VICTORY party na yan🥰🥰🥰🥰
#BBM for president🥰",
7095283814813598465,Wooow,
7095299134831739650,"Voting straight for UNITEAM🇵🇭
#BBMforPresident2022❤✌🏻🐅
#SARADU30forVP2022💚👊🏻🦅",
7095280148819755778,Victory party,
7095273949600826113,AMAZING ‼️❤️💚❤️💚✌️👊✌️👊,
7095271455369675521,🥰🥰🥰wooow,
7095267364694196993,"Its avictorious signnn na tooo,,",
7095305213192110849,victory foreworks bbm sarah ♥️♥️♥️for the win ✌️✌️✌️,
7095285683161776897,happy new year 😂,
7095394453443396354,Victory party naba to? ❤💚✌,
7095406159314027266,❤️💚,
7095270395665957633,Wow ❤️❤️❤️💚💚💚,
7095332608032637697,after neto lockdown 😌😌,
7095327777876345602,🥰🥰🥰,
7095322916380476162,🥰🥰🥰🥰🥰,
7095321798656410369,Wow😩❤️,
7095316897193116418,💚♥️,
7095330365526688514,❤️💚✌🏻👊🏻,
7095305383799669506,Victory Party naba to?,
7095300236449301249,😲😲😲😲😲🥰🥰,
7095397372561457921,happy new year,
7095396265793716994,Victory fireworks,
7095270370571354882,Wow,
7095268830464901890,❤️💚,
7095336201351791362,wow 😳😳😳😳🥰,
7095316483765191426,❤️💚✌🏻👊,
7095311482711491330,Goosebumps 😱 victory party yarn❤️💚👊✌️,
7095304158357570305,goosebumps 🥰 victory party na ba this. ❤💚✌👊 congrats in advanced our next president,
7095309044483277570,😭😭😭😭😭😭😭😭,
7095393895957725954,🥰🥰🥰🥰VICTORY ❤️❤️❤️❤️💚💚💚💚💚,
7095326495057101570,slay,
7095343611981726466,I love the way they sang TITANIUM TOGETHER 🥺,
7095358537274475266,THE VICTORY ☝️🤝👊✌️♥️💚,
7095509746220352258,🥰🥰🥰🥰,
7095505184075432705,VICTORY PARTY NA🥰🥰🥰🎉🥳🎉🥳,
7095076641764557569,PANG DISNEY LAND NAYAN FIREWORKS NAYAN 😁🥰🥰🥰,
7095103376052142849,nakakaiyak sobra 🥺🥰,
7095083819027432194,Grabe ♥️💚♥️💚♥️💚✌🏻👊 wala na kong masabi kundi Apo BBM at Madam Inday Sara maraming salamat at madami kayong napasayang pilipino 🥰🥺,
7095085036147655425,Philippine history it is 🥰🥰❤️💚❤️❤️team bahay. Godbless uniteam❤️💚 philippines,
7095095375778120449,Fireworks palang yan pinagisipan na kung paano pagandahin yung pa kayang kinabukasan ng Pinas ang hindi basta sama2 kaya natin❤️✌️👊,
7095077858888549122,"OMG Truth! pang world class level sa ganda mala Sydney at Dubai, walang sinabi yung kabila. 😏",
7095081147373830913,Grabe pang opening ng olympics hindi pang miting de advance. Masyado ginalingan,
7095079188805944065,Ganda para kang nasa Disney theme park,
7095103270024807169,wow parañaque tinalo nyo kaming taga davao🥰🥰,
7095095214209368833,"I WAS HERE 🔥 KAKAKILABOT , MAY NANALO NA 💚♥️🐅🦅🇵🇭🇵🇭💪🏻✌️👊",
7095093462978020097,"Ang swerte naman ng mga nandiyan, sulit ang pagod,, paano pa kaya sa Victory party ✌️👊❤️💚🇵🇭",
7095069614598046465,grabe ginalingan,
7095125440024920833,pak na pak winner na,
7095090381058294529,Pang world class🥰🥰🥰,
7095079746081653505,pag di ka mapaluha sa oras na andyan sa rally. manhid na.,
7095084730227606274,naiiyak iyak aq kanina habang nagvvideo .sobrang ganda. 🥺,
7095083911448904449,Wow! nakaka proud maging BBM SARA UNITEAM!,
7095109134802289409,mabuhay ang pilipinas!🥰🥰🥰,
7095082099556336385,grabe Disneyland Philippines. ♥️💚🇵🇭,
7095081206756770587,WOW PARANG OLYMPICS,
7095120451814490881,"Now we know kung bakit dyan ginanap ang Last Miting De Avance, para na rin sa malaPyroMusical na ganap 😁🥰",
7095118436577608449,ANG GALING NG PROGRAM COORDINATOR NG UNITEAM..GALING NG DIREKTOR NITO,
7095082429706486555,ADVANCE ANG CELEBRATION,
7095083171200369409,as in dabest fireworks show na nasaksihan ko ang Ganda ❤️,
7095102832688956161,"whuaaa,🥰ang ganda nman🥰ngayon lng may paganyan sa lahat ng tumatakbong pres.at sa nnalong pres,iba k u tlga bbm/sara,ung buong bansa🥰🥰🥰🥰🥰",
7095112751513043713,"yung sa kabilang parlor nagkamali ng binili, red and green lumabas na kulay ng fireworks 🤦🤣😂",
7095081284460315394,wow 😍 Ang Ganda Grabi salamat solid BBMSarah Uniteam Pang victory party na Yan Panalo na Tayo May Bagung Bukas na Tayo Pilipinas🇵🇭🇵🇭 BBMSarah❤️💚,
7095079495527039746,saang bansa to ???,
7095083566115635969,victory party na ito solid bbmsara,
7095087749270962945,npaka expensive tlaga ng uniteam kahit wala cla masyadong gastus sa kampanya nla...🥰,
7095077225003401985,Yung Finale ang ganda!!! Pyromusical!!! ❤️💚😊,
7095080655319106305,grbe akla m panalo na..rally lang yan paano kong totoong panalo naaaa,
7095103430766772993,go go go UNETEAM ipanalo Sa lunes Ang bbm at Sarah pag at pag bangon muli Ang mabilis na pag takbo Ng tegre at mabilis na paglipad Ng agila tungo Sa p,
7095108868103422722,BAT PARANG NAIIYAK AKO. PARANG NARARAMDAMAN KO NA ANG FUTURE NG PILIPINAS🥲🥲🥲💚❤️,
7095082572375704322,sa kabila kasi naki BBM SARA dn ang fireworks😂😂,
7095079863148741377,Dragon Fireworks ito malamang.. sila yung nag champion sa Pyronale 2013,
7095088286246470401,galing naman! victory party n ito,
7095103590721143553,Grabe ganda sino kaya mabait na nag sponsor nito sa uniteam. ❤️💚,
7095119621355406081,Wowwwww advance victory 🎉 God plssss hanggang matapos botohan samahan nyo po kami para sa tagumpay ng aming presidente at vise president bbm&sara❤️,
7095105364743602946,Yung nagiging ka before 5am then Ito Yung bumungad na video. agang iyakan toh! 😭😭😭.,
7095108639844991746,kabalika. . wlang ibang sinasabi BBM. tapos dto Ang saya saya lang,
7095232403413025537,kala ko victory party na ng UNITEAM💚❤❤💚,
7095233931221533442,the best ever🥰🥰🥰 pinagpuyatan ko to🥰🥰,
7095256496141304577,ramdam ko na yong manalo💪🏼🎉💖💚🇵🇭,
7095225844632896257,PINKLAWAN RN: KASALI SA 203B YANG FIREWORKS😅,
7095235144864776961,Bukas na may 9 na excited nako tas Yung 31 na modules ko pa chill chill lang iiyak nako pag may 10 na 😂,
7095238968111121154,anjan kami sa malapit sa atage subrang daming tao umaabot ng millions maraming nahimatay buti masipag mga midec nila yan palang panalo na BBM,
7095234136881185538,Sa tiktok ko lang nakita grabe na papa wow na wow ako sa sobrang ganda.,
7095292170957210369,proud to be ilocano 🥰,
7095281171529499393,Victory party na next ❤️💚 Ang ganda 😍,
7095267214688797441,nKakaproud maging parti ng UNITEAM at proud aq saking future president at vc president ♥️✌️💚👊,
7095280114715902721,"may nanalo na, c BBM our nxt President",
7095265784914674433,good lock para bukas,
7095283258061161217,pabonggahan ba ng fireworks every rally ni BBM 😂😂😂 grabi kayo uniteam 🥰🥰,
7095282672754410241,parang nsa disneyland lng e,
7095291156007387906,victory party n yan eh😁,
7095293511721485057,ipanalo natin to bbmsarah 🥰,
7095324184372314881,kitakits sa victory party guys... walang tulugan bukas ha,
7095292922383696641,Wow ginalingan tlga …world class💚❤️🙏,
7095313051981366018,parang nasa Hongkong Disney Land lang uh...🥰🥰,
7095321271877174017,"@ramOdelonhid:okay lang na team bahay, thanks for sharing this momentous event.,Animoy bagong taon, para sakin Bagong Pag-asa nakikita ko🙏",
7095315253096907522,wow ang ganda naman ng fireworks🥰🥰🥰,
7095294864438543105,basta tyo mag kasama bukas cckat na ang araw .sabay sabay tyo sa pag boto.straight uniteam.😇😇😇😇😇😇,
7095294088224588545,"Grabe bongga talaga,BBMSARA for life 🥰🥰🥰🥰",
7095271788992807681,sigurado tulo luha ni mam imelda nyan....,
7095289202518786818,Pang Victory Party na UN Preparation nila..Sure WIN na🥰🥰Ka BBM Let's Celebrate❤️✌️💚👊🥰🥰🥰,
7095300489340158722,lord wag mo pong hahayaang madaya ang president namin🥰🥰🥰🥰,
7095287241169355522,Grabeee! Yung tumulo nalang luha ko hanggang matapos yung vid. Kasi I'm claiming na it's a VICTORY PARTY na for our UNITEAM. 🥺🙏🥰😇✨ IN JESUS NAME!,
7095361280520831746,Bongga yern?🥹😍❤️💚✌️👊,
7095286423577789186,naamoy kona ang victory party bbm por president,
7095299758562296577,Bat kusang tumulo ang luha ko rito? 🥺 Grabe masyadong ginalingan ang UNITEAM! 💚❤️🇵🇭,
7095286288878306050,grabe victory party na ata yan eh. goosebumps! ngayon plng congratulations Uniteam!!! 🥰🥰🥰,
7095323996001927938,oh my god kinikilabutan ako Solid bbm🥰🥰🥰,
7095302858987291394,"siguro kung nanjan ako,maiiyak akoo grabee😭❤️💚",
7095375879110492929,bbm sara po 😙😙,
7095292992293995266,"Grabeng effort ng BBMSARA UNITEAM,,yung sobrang saya mo na napapaluha ka din 😭😭😭😭😭❤🤝😊✌😍💪💚❤🏳‍🌈",
7095288347010646786,Sa Fireworks pa lang halatang hindi kana titipirin,
7095284871589249793,special talaga pag BBM&SARA UNITEAM NA😊🥰🥰,
7095302144370328322,Meeting De Avance ba to akala ko victory party na😳💚❤️,
7095286081431864066,Maganda PA to keysa sa HK Disney nong nakapunta ako Don. Goosebumps 🥺,
7095337647199601409,BBM uniteam kami solid ♥️✌️ang ganda parang panalo na talaga,
7095321877161607937,Ang swerte NG mga dumalo grabe.. Sa edsa dko palalampasin. Pupunta talaga aq 🥰🥰,
7095297494430532353,Ramdam ko na maging president solid bbm. 🥰,
7095280279451566850,"FIRST impression will be the Last impression too🥰,MABUHAY ANG PILIPINAS MGA KABAYAN❤️💚👏👏👏🇵🇭👍💪🙏😇BBM BBM BBM /SARA LNG MALAKAS💪❤️💚",
7095280403276071681,goosebump malupettttt❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤,
7095280687670084353,GONDOOO PARANG SA IBANG BANSA!!🥰😯BTW EXCITED NAKO MAG VOTE TOMORROW!!!✌️❤️💚👊🇵🇭,
7095271263203607298,kmi na Ang bahala bukas sa inyo BBM/SARA..at kayo nman Ang bahala sa aming mga pilipino pagkatapos ng botohan✌️👊🇵🇭♥️💚,
7095292311873389313,Patikim pa lang yan… sana kapag sila na naupo na Presidente at Bise (BBM-SARA) Sana may Family day tayo tapos may ganitong activity together as One.,
7095286982947406594,pau pa kaya pag victory na🥰🥰😌,
7095283618540864258,kahapon start ko nanood ng tv SMNI 3pm gang sa matapos parang nakapunta narin ako nakakaiyak pati mga fire works nila nakakmangha🥰,
7095296699929477889,Bat Naiiyak ako 😖😭 BBM AND SD FOR THE WIN,
7095290685125460738,Sanaol mabudget sa pa fireworks,
7095270502268863234,grabe nakakatindig balahibo 🥰 muling babangon at titinglain ulit ang bansang Pilipinas,
7095377667524543234,"pati arrangement ng background music, parang Spielberg! ❤💚✌👊🇵🇭",
7095288204169167618,paraang victory party na woooohhhh!,
7095295286914827009,Sakto sa music ang galing🥰,
7095295892479443714,Grabe parang victory party na❤️💚,
7095380228532421377,ang ganda🥰,
7095354847813272322,SOLID BBMSARAH❤️💚✌️✊🇸🇽 excited na ako sa victory party,
7095324383229035265,feel the spirit.. kahit malayo. feel d love and walang siraan ..solid BBM💪💪💪💕❤️💚🇵🇭🇶🇦,
7095319272632615681,"Mabuhay ang bansang Pilipinas.
Mabuhay ang Pilipino!",
7095271102401757954,pagtapos Ng Titanium na sound alam ko Ang sound na Yun!!! That is from LoL or VICTORY SONG ♥️💚,
7095284044946457371,WOAHHH GOOSEBUMPS TLGA,
7095280419784016642,VICTORY PARTY ATA ITO 🥰🥰,
7095332420387767041,Hindi ako naka punta sa victory party nalang 🤗❤💚,
7095348164995056385,MAS MAGANDA PA SA DISNEY ITO GRABE AS IN WOW!🥰🥰🥰 NAPAKA GANDANG MANGYAYARI SA PILIPINAS! 🥰🥰🥰 UUNLAD ULIT NAKIKITA KUNA🥰🥰🥰,
7095340296862925570,Victory party na yata 'to,
7095369602507162369,ang Ganda sayang,
7095318835426820865,ang ganda naman🥰🥰 i always praying 🙏 🤲 for the win,
7095318592530662146,😂😂Grabe Meron kau nyan uniteam lang nman ♥️💚♥️💚Meron 👏👏🎉🎉🎉banzaiiiiii banzaiiiiii 🥰🥰,
7095382156087722753,ilang munites po ang fireworks? grabe ang ganda e panalo n tlga si bbm.,
7095328258258191105,Victory Party na yan 🥰🥰🥰🥰 di Nayan Meeting De Advance,
7095315968808731394,paranaque hnd niyo po masyadong ginagalingan kakaasar kayu 🥰🥰🥰🥰💚❤️,
7095294334014128897,THE BEST NA TALAGA😊LANDSLIDE VICTORY WIN❤💚,
7095404422268371714,hindi yata miting di avance to eh....Victory party nato eh 😁,
7095297963677074177,"may narinig akong nagsabi na ""NAKAKAKILABOT"" HOOOOY SOBRAAAA",
7095298257382982401,grabe milyon siguro ang nagastos para sa mga fireworks ang ganda😳,
7095298147761160961,Wow na wow ang finally 🥰😂,
7095298280959066882,Ang gandaaa,
7095296927570723585,victory party na yarn 👊✌️❤️💚🙏,
7095346171564000002,prang Disney land lang ang peg ganda 😁❤️💚🎇✨,
7095295367772111617,Salamat Tatay Digong dahil ikaw ang naging way para mamulat sa katotohanan ang karamihan na hindi talaga masama ang mga MARCOS 😭😭😭❤💚💪🤝✌😊😍,
7095297594930692866,Panalooo na yan ❤️💚,
7095297640401273601,"Uusbong muli ang pilipinas..
#BBMFORPRESIDENT2022",
7095296049035903746,salamat kay direk paul soriano🥰🥰,
7095345034111501058,tagal ng fireworks nla super ganda🥰🥰🥰,
7095415025120363266,victory party naba ito??wow sobra nakakatuwa ang daming tao..,
7095314083037348610,KAKAINGGIT 🥺🥺🥺 PARANG NKIKITA KO NA MANG YAYARI SA VICTORY BUKAS HAHAHAH AGAIN SALAMAT PARAÑAQUE💚✌️👊❤️,
7095293604482548481,wow ganda nmn🥰,
7095312444931441410,panalo na BBM SARAH ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️✌️👊,
7095293380158636801,ang solid maging part ng crowd na to 😭,
7095295657074344706,Yung sponsor iyan solaire po,
7095272805738513153,pangvictory talaga..🥺🥺🥺🥺🥺 so beautifull🥰🥰🥰,
