source,post_id,container_id,user_id,datetime,text,length,likes_received,replies_received,amp_prob,is_sockpuppet
pantip,55,42111007,pantip_7585251,2023-07-10 09:39:33,ทีมา แฟมิลี่แมน ตัวจริงครับ เป็น พ่อและสามี สมชายชาตรี ไม่ทำร้ายทุบตี ผู้หญิง คนสุพรรณ รักท่าน บรรหาร และ พรรคชาติไทยพัฒนา บุคลิกภาพ การใช้ภาษา การทำงานในตำแหน่ง รมต และ การประสบความสำเร็จในชีวิตคู่ครอง ของคุณท๊อป ดูเหนือกว่า นาย พ มากมายครับ น่าชื่นชม คนสุพรรณบุรี ที่มี สส รมต ที่มีความรู้ ความสามารถ,302,0,,,0
pantip,56,42111007,pantip_4115311,2023-07-10 09:57:50,ภาษาเป๊ะกว่า พ. อีก แต่ไม่ โชว์พาว โอ้อวด,41,2,,,0
pantip,57,42111007,pantip_6844095,2023-07-10 09:41:33,จริงๆ คุณวราวุธ บุคลิกและภาษาเวลา speech พูดดีมากกกกกก,54,3,,,1
pantip,58,42111007,pantip_7563950,2023-07-10 09:42:10,เองหลอนกัญชา หรือเซลล์สมองน้อยเนี๊ย ม.112ยังไม่ได้ถกกันในสภาเลย เองคงไม่เคยฟัง ไม่เคยอ่าน เกี่ยวกับนโยบายนี้ละซิ เพราะแต่ละวันรอแต่เงินเข้าบัตรคนจนคนชรา ถามกลับแค่ข้อเดียว เองอธิบายมาดิว่ามันมีผลเสียต่อเศษฐกิจยังไง หรือว่าใช้แค่เซลล์สมองที่มีอยู่น้อยนิดตั้งกระทู้โหนไปวันๆเท่านั้น,280,3,,,1
pantip,59,42111007,pantip_7585251,2023-07-10 09:46:52,คารวะ ท่านกงกง เพียงแค่ กงกง ไม่ไล่ ลงรู ก็ถือเป็นเกียรติมากแล้วครับ อิอิ,73,1,,,0
pantip,61,42111007,pantip_7585251,2023-07-10 10:04:10,ต้อง ทาน ก่อน หรือ หลังอาหาร ครับ อิอิ,38,0,,,0
pantip,62,42111007,pantip_6630265,2023-07-10 10:11:46,ไม่มีอะไรละท่าน แค่สู้ไปแหลไป 14 ล้าน ส่วนใหญ่น่าจะมาจากเบื่อลุงและชอบของฟรี พวกกีบส้มแค่ตีขลุม112 จะเพื่อจะลากตามใจตัวเอง น่าจะชินกันแล้ว มุกตีขลุมของพวกนี้ ทำประจำให้เห็นลิ้นไก่แล้ว เพี้ยนชนแก้ว,196,2,,,0
pantip,480,42111278,pantip_6844095,2023-07-10 12:15:52,ใช้เด็กเพราะขี้ขลาด กรณีใช้เด็ก 10 ขวบขึ้นไปพูดบนเวทีเมื่อวาน,61,5,,,1
pantip,481,42111278,pantip_6844095,2023-07-10 12:17:10,เมื่อวานตอนเย็น 97,18,2,,,1
pantip,483,42111278,pantip_6844095,2023-07-10 12:17:33,วนลูป,5,1,,,1
pantip,485,42111278,pantip_6844095,2023-07-10 12:18:18,เรื่องอื่นนอกจากสถาบัน ตรรกะเจียมใช้ได้,39,2,,,1
pantip,486,42111278,pantip_6844095,2023-07-10 12:20:26,สิ่งศักดิ์สิทธิ์คงช่วยอะนะ ถึงสะดุดขาตัวเองบ่อยๆๆ,49,1,,,1
pantip,492,42111278,pantip_7585251,2023-07-10 14:58:56,ของลุงจก ยาวโพดๆ เลื่อนกันจน นิ้วแทบ ล๊อค แถม พอเลื่อนเสร็จ ลืม ลืมว่า จขกท ถามอะไร ต้องเลื่อนใหม่ อีกรอบ โถ ชีวิต ไม่ควรใช้เด็ก มาเป็นเครื่องมือ ครับ,150,3,,,0
pantip,493,42111278,pantip_7620528,2023-07-10 15:01:29,นักสิทธิที่เรียกร้องสิทธิเด็ก หายเข้ากลีบเมฆตามฟอร์ม,52,3,,,1
pantip,494,42111278,pantip_7563950,2023-07-10 15:02:38,ใช้ปืนปล้นอำนาจขี้ขลาดกว่า,26,0,,,1
pantip,541,42111298,pantip_7620528,2023-07-10 15:20:12,ของเข้าตัว,10,1,,,1
pantip,544,42111298,pantip_6844095,2023-07-10 12:42:01,ใจบาง,5,1,,,1
pantip,548,42111298,pantip_7544430,2023-07-10 13:01:50,เจี๊ยกๆ กอลิลี่🦧,16,0,,,1
pantip,550,42111298,pantip_6844095,2023-07-10 12:49:14,เลื่อนเม้าท์ยาวโลด,18,3,,,1
pantip,551,42111298,pantip_7585251,2023-07-10 14:55:42,ยาวโพดๆ นิ้วล๊อค เพราะ เลื่อนโพส ลุงจก เรียกร้อง ค่ารักษาที่ใครดีครับ,69,0,,,0
pantip,553,42111298,pantip_7544430,2023-07-10 12:57:53,สงสาร จก jjny ตัดแปะ สมัยนี้เด็กก็ทำได้ ถ้าเขาไม่จ้างก็หาคนอื่นแทน สู้ทวนก็ไม่ได้ เขียนโปรแกรม เด็ก มันก็ทำไม่เป็น ไม่รู้หลักการเขียนโค้ด ถ้าให้เลือกรับทำงาน รับทวนแห่งไฟดีกว่า แก้โปรแกรมได้ มีใบรับรองอีก ส่วน จก ตัดแปะ สถาบันไหนรับรองบ้าง ตัดแปะเป็นอาชีพ 🤣🤣🤣,259,0,,,1
pantip,554,42111298,pantip_7544430,2023-07-10 12:58:54,ทนๆ หน่อย อาชีพ จก ไม่แปะมั่วไม่ได้เงิน 🤗🤗🤗,43,0,,,1
pantip,555,42111298,pantip_7620528,2023-07-10 13:16:36,ใครจะจ้างจก 555 ประสิทธิภาพ ประสิทธิผลไม่เข้าเป้า,49,1,,,1
pantip,558,42111298,pantip_7620528,2023-07-10 15:19:41,ตรูเขียม ของเข้าตัว,19,1,,,1
pantip,559,42111298,pantip_6614772,2023-07-10 19:26:21,ดวงฤทธิ์ สลิ่มเก่า กปปส.,24,0,,,1
pantip,563,42111309,pantip_7500065,2023-07-10 13:24:21,ไทยรักษาชาติโดนมาก่อน,21,1,,,0
pantip,565,42111309,pantip_7585251,2023-07-10 14:47:58,กกต อาจจะ ยกคำร้อง อีกครั้ง,27,0,,,0
pantip,575,42111322,pantip_718696,2023-07-10 13:00:29,เจ้าของตัวจริง และ หัวแถว เขาโดนคดีกันหมด ต้องแก้และนิรโทษ ให้ เจ้าของ รอด,74,6,,,0
pantip,577,42111322,pantip_718696,2023-07-10 13:04:32,อีกอย่าง เป็นนโยบายหาเสียง บ่มเพาะความชิงชัง ไปในหมู่เยาวชนวงกว้างจนมากเกินคาดคิด กลับลำ เจ้าของพรรคนายทุน และ สาวก ไม่ยอมแน่,125,3,,,0
pantip,591,42111322,pantip_7002948,2023-07-10 13:50:31,นั้นน่าจะเป็นจุดแข็งของเขา ถึงได้คะแนนอันดับ1 ทั้งที่ คนที่เป็น สส พรรคนี้ คนเลือกยังไม่รู้จักรเลย โดยเฉพาะ กรุงเทพ และหัวเมืองใหญ่,131,0,,,0
pantip,594,42111322,pantip_4130679,2023-07-10 13:56:21,จขกท งงอะไรหรือครับ ก้าวไกลเขาชัดเจน 112 ก็จะแก้ นายกฯก็จะเป็น มาตั้งแต่แรก อีกอย่างจุดแข็งของเขาคือม๊อบไม่ใช่การเจรจาอยู่แล้ว จะสละจุดเด่นใช้จุดด้อยทำไม,153,1,,,0
pantip,600,42111322,pantip_6630265,2023-07-10 14:26:54,นโยบายเก่าๆ ขายเหล้าพวงเบียร์ เอามาใช้จนติดตลาด อยากไล่ตู่ อยากได้ของฟรี เลยเจอดีจะแก้112ที่ไม่รู้จะมาทำไม ฉะนั้น ต่อไปก็ควรดูให้ครอบคลุม อะไรที่สอดไส้มาเพื่อสนองคนไม่กี่คน ก็อย่าไปเลือกมัน เพี้ยนผิดห้อง,203,3,,,0
pantip,601,42111322,pantip_718696,2023-07-10 14:37:31,ฟังไม่ได้ศัพท์กันหลาย คห. จขกท เขาถามว่า ทำไมไม่ล้มเลิกความคิด ที่จะแก้ไข,73,2,,,0
pantip,602,42111322,pantip_7585251,2023-07-10 14:44:55,นาย พ ควรใช้โอกาสนี้ ล้างบางอำนาจนอกกฎหมาย ที่ครอบงำพรรค ด้วยการ เท เท ไอ้พวกสามกีบ ทิ้งไปเลยครับ ประกาศ ไม่แก้ ไม่เลิก ม.112 และ พรรค จะเพิ่มโทษให้มากกว่าเดิมด้วย เอาให้ สามกีบ และ 3 สหายป่าคอนกรีต ชักตาตั้ง ที่นี้ พวกมัน จะออกมาประท้วง ก็จะโดนจับ ขังคุกบางขวางกันทั้ง แก๊ง นาย พ ก็ขึ้นสู่ นายก อย่างสวยงาม เชื่อผม,315,2,,,0
pantip,603,42111322,pantip_7576977,2023-07-10 14:48:22,เดี๋ยวก่อน ตอน ชนะเลือกตั้ง ใหม่ๆ เครมว่า 14 ล้านเสียง คือ เขาต้องการให้ แก้ 112 ไม่ใช่หรือ พอมาวันนี้จะให้ ยกเลิกเรื่อง จะแก้ 112 จะบอกว่า ที่เลือกเรา 14 ล้านเสียง คือ โง่เอง ที่ถูกเราหลอก ว่างั้น,197,2,,,1
pantip,604,42111322,pantip_7585251,2023-07-10 15:04:48,น้อน ๆ ชักตะ งง ชักจะ ตามไม่ทัน หละ,35,0,,,0
pantip,737,42111394,pantip_7450328,2023-07-10 13:52:31,ยมทูตเตือนภัย เปิดภาพอนาคต ทิม พิธาไม่ได้เป็นนายกฯ คุย ยมทูตเตือนภัย ผ่าน หมอปลายพรายกระซิบ หลังลาสิกขา เปิดภาพอนาคต ทิม พิธาไม่ได้เป็นนายกฯ นายกฯ ใหม่สูงวัย 60 กว่า กับ รัฐประหาร 66,182,1,,,1
pantip,740,42111394,pantip_7611335,2023-07-10 14:39:29,ไม่รู้จะไปทำมาหากินอะไรแล้วหรือเปล่าครับ ใส่ผ้าเหลืองก็แล้ว ใส่กางเกงก็แล้ว โกหกนั้นตายตกนรกนะครับ,98,0,,,0
pantip,741,42111394,pantip_7552481,2023-07-10 16:26:59,งั้นฝากบอกอ้ายยมด้วย พุทธาวตารทำงานสำเร็จ จะล้มพระพุทธศาสนาได้อยู่แล้ว อ้ายยมไปอยู่ไหน ไสยศาสตร์ และผีร้ายเต็มบ้านเต็ม เมือง อ้ายยมมึ ไปอยู่ไหน,143,0,,,0
pantip,742,42111394,pantip_7274376,2023-07-10 16:34:04,เด่วนี่มันโหนเเม้กระทั้งผีเเล้วเหรอ พวกมีปัญญาเเค่โหนนิ มิน่า เลือกตั้งเเพ้ตลอด,79,1,,,1
pantip,743,42111394,pantip_5727294,2023-07-10 20:16:58,ไม่เชื่ออะไรหมอดูคนนี้อยู่แล้ว,30,0,,,1
pantip,773,42111419,pantip_7461768,2023-07-10 14:12:39,เห็นด้วยหรือเห็นต่างดราม่าเด็กอายุ 10 ขวบขึ้นเวทีแสดงความคิดเห็นทางการเมือง กลายเป็นดราม่าจนได้กับกรณีที่มีเด็กอายุ 10 ขวบขึ้นไปแสดงความเห็นทางการเมืองบนเวทีๆหนึ่ง คนกลุ่มหนึ่งมองว่าเด็กยังเด็กเกินไปที่จะรับผิดชอบต่อการแสดงออกทางความคิดของตนเอง ไม่งั้นก็สามารถเข้าคูหาเลือกตั้งเหมือนผู้ใหญ่ได้แล้ว คนอีกกลุ่มก็มองว่าเด็กเองก็มีสิทธิไม่ต่างจากผู้ใหญ่หรือคนแก่ที่สามารถแสดงความคิดเห็นทางการเมืองได้ สำหรับผมนะจะเด็กหรือผู้ใหญ่หรือคนแก่ทุกคนมีสิทธิที่จะแสดงความคิดเห็นทางการเมืองของตนเองได้ ส่วนน้ำหนักของ content ในการแสดงความคิดเห็นนั้นคนดูคนฟังเค้าตัดสินเองครับ พูดดีพูดถูกคนมีสติปัญญาเค้าก็เห็นด้วย พูดเพ้อเจ้อออกทะเลไร้ตรรกะคนเบาปัญญาเค้าก็หลงเฮหลงฮาไปด้วย อายุเป็นเพียงตัวเลข ประโยคนี้ไม่ใช่ว่ากันแค่เรื่องเตะปี๊บดังหรือไม่ดังเท่านั้น มีผู้ใหญ่และคนแก่หลายคนที่คนจำนวนมากในสังคมต่างตั้งคำถามเกี่ยวกับเรื่องตรรกะและบทบาทในการแสดงออกทางการเมือง มีเด็กจำนวนไม่น้อยที่มีความรู้ในเรื่องประชาธิปไตยไม่แพ้ผู้ใหญ่หรือเพลอๆเด็กมันจะรู้มากกว่าคนแก่อย่างผมเสียด้วยซ้ำไป,961,3,,,0
pantip,775,42111419,pantip_7461768,2023-07-10 14:31:51,สำหรับผมนะ ไม่ว่าจะฝั่งไหนฝ่ายไหน เวลาฟังผมยึดเหตุและผลและตรรกะตามหลักการเป็นหลักครับ,85,4,,,0
pantip,776,42111419,pantip_6706274,2023-07-11 00:17:31,ไม่ควรทำ ไม่ว่าจะเป็นฝ่ายไหน เด็ก 10ขวบ คิดเองขนาดไหน ผู้ใหญ่ใส่ข้อมูลให้ทั้งนั้น ต้องถามคุณบ้างล่ะ ว่าคุณเห็นดีเห็นงามในการกระทำนี้ไหม,135,0,,,1
pantip,777,42111419,pantip_7461768,2023-07-11 10:05:16,ผมว่าเด็กอายุ 10 ขวบบางคนอาจจะมีสติปัญญามีตรรกะมากกว่าคนแก่แบบเราๆก็เป็นได้นะครับ,81,0,,,0
pantip,778,42111419,pantip_6706274,2023-07-11 10:41:10,แล้วเด็กคนที่เป็นข่าวล่ะ มีสติปัญญาดี ตรรกะดีไหม,48,0,,,1
pantip,779,42111419,pantip_7546849,2023-07-10 14:26:54,เด็กนั้น พอถึงจุดๆ หนึ่ง เวลา พบว่า ตนถูกผู้ใหญ่ปฏิเสธ อย่างไม่มีเหตุผล ทำไม ไม่ตามใจเด็ก เด็ก ก็มักจะ แล่นไปทำบางสิ่ง ผู้ใหญ่ที่เป็นครู ที่วางแผนระบบการศึกษา บางคน รู้กลไกชีวิตนี้ของเด็ก แล้วอาศัย ความสุกงอม จะสร้างปรากฏการณ์เป็นประโยชน์ ทางการเมือง,250,0,,,0
pantip,781,42111419,pantip_7576977,2023-07-10 14:45:21,หัดดูกฏหมายมั่ง เด็ก 10 ขวบ ไม่ต้องรับผิดชอบ ผลตามกฏหมาย,56,0,,,1
pantip,783,42111419,pantip_7576977,2023-07-10 20:42:04,แสดงความเห็นได้แน่นอนครับ แต่ก็ต้องรับผิดชอบผลที่จะตามมาด้วย ผมก็บอกไงว่า เป็นความเข้าใจผิด เด็กไม่ต้องรับผิดชอบ กับผลที่ตามมา เพราะ กฏหมาย เอาผิดไม่ได้,152,0,,,1
pantip,784,42111419,pantip_7546652,2023-07-10 14:32:33,ไม่ว่าฝ่ายไหนก็ไม่ควรจะเอาเด็กมาข้องเกี่ยวขนาดนี้,49,3,,,0
pantip,790,42111419,pantip_4130679,2023-07-10 14:59:26,ประเทศเราสำนึกในการปกป้องเด็กยังต่ำมากๆๆๆ ไม่ว่ากรณีใดผู้ใหญ่ใช้ประโยชน์จากเด็ก ค้ามนุษย์ ยิ่งเพราะผลประโยชน์ทางการเมือง ยิ่งเลวบัดซบ,133,6,,,0
pantip,793,42111419,pantip_7576977,2023-07-10 20:44:53,เด็กสมัยนี้ พ่อแม่ปลูกฝังให้ เขาสนใจการเมืองตั้งแต่เด็กเล็กๆ,60,0,,,1
pantip,796,42111419,pantip_6706274,2023-07-10 16:23:49,เด็ก 10 ขวบ จะคิดอะไร จะพูดอะไร ก็ฟังมาจากผู้ใหญ่ทั้งนั้น ไม่ว่าฝ่ายไหน ไม่ควรเอาเด็กมาเป็นเครื่องมือ,101,3,,,1
pantip,797,42111419,pantip_740092,2023-07-10 16:33:42,ไม่เห็นด้วยเลยที่ให้เด็กขึ้นไป เกิดพูดอะไรที่ไม่เข้าท่าขึ้นมานี่จบเลยนะ,71,0,,,0
pantip,799,42111419,pantip_7389721,2023-07-10 18:28:25,ไม่ควรจริง ๆ ถีบขาคู่,21,0,,,1
pantip,801,42111419,pantip_7631292,2023-07-10 18:42:04,ตราบใดที่ internet archive ยังอยู่ และไม่ woke ก็จะมีสิ่งนั้นติดคาในโลกอินเตอร์เน็ตตลอดไป แต่ปกติแล้วการจะสะสมข้อมูลใครสักคน เลขประจำตัวประชาชนเป็นสิ่งสำคัญกว่าหน้า ชื่อ สกุล อาจจะรู้แล้ว แค่แวะมาย้ำ,199,1,,,1
pantip,802,42111419,pantip_6614772,2023-07-10 19:23:32,ไม่เป็นไรครับ เพราะเด็กขึ้นเวที มาตั้งแต่เสื้อเหลือง 2548 2551 จนถึงม็อบ กปปส 2556 2557,87,0,,,1
pantip,803,42111419,pantip_7576977,2023-07-10 20:47:27,พ่อแม่เขาปลูกฝังให้ลูกสนใจการเมืองตั้งแต่เด็กแล้ว,49,0,,,1
pantip,804,42111419,pantip_6614772,2023-07-10 21:57:55,เสื้อแดง เขาเลียนแบบพวกควายเหลือง ก่อนหน้าน่ะ,45,0,,,1
pantip,805,42111419,pantip_6706274,2023-07-11 00:13:53,มันเป็นข้ออ้างในการทำความชั่ว โกหกได้ เพราะคนนั้นก็โกหก ทำร้ายคนอื่นได้ เพราะคนนี้ก็ทำเหมือนกัน . . ความจริงคือ ถ้าสิ่งใดไม่ดี ก็ไม่ควรทำ ชั่วในชั่ว ไม่มีดีหรอก มันก็ชั่วเหมือนกัน,179,0,,,1
pantip,806,42111419,pantip_6614772,2023-07-11 17:57:38,สมัยเสื้อเหลือง สมัย กปปส. ถ้าไม่ได้ด่า ไม่ได้บ่น ก็อย่าไปสนใจเรื่องพวกนี้,74,0,,,1
pantip,807,42111419,pantip_6706274,2023-07-11 19:48:02,ชั่วดี แถกันไม่ได้หรอก รู้อยู่แก่ใจ,35,0,,,1
pantip,810,42111419,pantip_2136250,2023-07-10 23:53:43,งั้นเด็กออกมาพูดแล้ว ถ้าไม่เห็นด้วย เราก็ค้านเด็ก ด่าเด็กได้ด้วยใช่ป่ะ เหมือนที่ผู้ใหญ่หลายๆคนโดน เด็กจะรับได้ปะกับการที่โดนสังคมแย้งสังคมด่า,141,0,,,1
pantip,811,42111419,pantip_4296805,2023-07-11 02:25:50,ไม่ควรอย่างยิ่ง ฟังดูก็รู้ว่าผู้ใหญ่สอนให้ท่องจำมา เด็กสิบขวบยังไม่มีการคิดวิเคราะห์ ฟังความสองข้างแล้วมาไตร่ตรองอะไรแบบนี้แน่ๆ ผู้ปกครองปลูกฝังมาอย่างไหนก็จำไปอย่างนั้น ซึ่งเรื่องการเมืองมันซับซ้อน มันไม่มีผิดไม่มีถูก ไม่มีขาวไม่มีดำ มีการกลับขั้วสลับฝ่ายวุ่นวายไปหมด ด้วยความรู้และประสบการณ์เด็กสิบขวบ มันมีแค่ขาวดำ ฝ่ายธรรมะอธรรมเท่านั้น ยังไม่ควรเอาเรื่องซับซ้อน เรื่องเทาๆ แบบนี้ไปแปดเปื้อนความคิดเด็กเลยค่ะ,412,0,,,0
pantip,812,42111419,pantip_7049956,2023-07-12 13:46:30,ไม่ใช่แค่เด็กเล็ก ๆ หรอก เด็กวัยรุ่นก็ด้วย เคยเห็นไป debate ในบางรายการ อ่านแต่มือถือ จนรู้สึกว่า ไม่ได้คิดเอง เด็กบางคนเข้าไปในม้อบ สุดท้ายเกิดอันตรายอุบัติเหตุ หนีไม่ทัน เด็กบางคนอยู่ในเหตุการณ์แบบนี้ เสียสิทธิ เช่น ทุนเรียนทุนกีฬาฯ ต้องโทษพ่อแม่เด็กด้วย ปล่อยลูกออกมา พ่อแม่หลายคนเดี๋ยวนี้ก็ไม่ได้ใส่ใจลูกเท่าที่ควร ลูกไม่กลับบ้านก็เฉย ๆ ลูกจะไปไหนก็เฉย ๆ หายไปเป็นวัน ๆ ไม่เรียน ก็ไม่รู้ เด็กเล็ก ๆ บางที ขึ้นเวทีไป เราไม่รู้ว่าจะโดนลูกหลงไหม จะกลายเป็นเป้าสายตาให้พวกโรคจิตไหม เดี๋ยวนี้มีเยอะ.,498,0,,,0
pantip,890,42111457,pantip_7563950,2023-07-10 14:56:46,คำเตือน กระทู้นี้ไม่เหมาะกับไอพวกขี้แพ้ชนกลุ่มน้อยโหนเจ้า ก่อนเข้ากระทู้ควรใช้วิจารณญาณให้ดี เพราะอาจจะทำให้เป็นประสาท และกระอักเลือด,133,4,,,1
pantip,891,42111457,pantip_7104855,2023-07-10 14:57:33,มีแต่ภาพต่ำๆ แคบๆ,17,0,,,1
pantip,892,42111457,pantip_7104855,2023-07-10 20:16:17,มาหลักร้อย คุยซะล้าน,20,0,,,1
pantip,897,42111457,pantip_7607632,2023-07-10 15:55:00,ไม่ชอบพรรคก้าวไกล แต่ในเมื่อมันถึงเวลาของเขา เขาก็ควรจะได้รับ การเปลี่ยนแปลงมันจะข่มขืนก็ต้องเปลี่บนไม่วันนี้ก็วันหน้า,118,1,,,0
pantip,901,42111457,pantip_7104855,2023-07-10 20:15:13,ไม่เท่าไหร่,11,0,,,1
pantip,903,42111457,pantip_7616386,2023-07-10 21:27:23,hundreds แปลว่าหลายร้อย ไม่ใช่ร้อยกว่า zodiac28 ไม่ได้เรียนหนังสือ เลยไม่รู้ แต่ชอบทำตัวเป็นกูรูรู้ทุกเรื่อง เพราะมีปมตรงนี้ คืนนี้คงตอบไม่ต่ำกว่า 8090 กระทู้ เพราะเหงา ไม่มีใครคบ ตอบทั้งคืน ตั้งแต่ 2 ทุ่ม จนถึงตี 4 ทำแบบนี้ทุกวัน ปีที่แล้วตอบไป 30000 กระทู้ได้,261,4,,,0
pantip,917,42111481,pantip_7634099,2023-07-10 15:03:00,ทำไมก่อนเลือกตั้ง ลูกทักษิณออกข่าวเยอะ หลังเลือกตั้งเป็นเศรษฐาออกข่าวมากกว่า เกิดจากอะไร,88,0,,,1
pantip,918,42111481,pantip_6844095,2023-07-10 15:04:00,ต้องรับออเดอร์จากพ่อก่อน,24,0,,,1
pantip,923,42111481,pantip_7617150,2023-07-10 20:31:15,เขาคงคิดว่าได้แน่ๆแหละ เลยเอานามสกุลมาใช้ด้วย,45,0,,,0
pantip,924,42111481,pantip_4115311,2023-07-10 21:35:32,ไม่ได้หิวแสง เก็บตัวต้องรักษาภาพลักษณ์ให้น่าเคารพ ไม่ทวีตหาใครไปเรื่อย เชียร์วอลเล่อยู่ที่บ้านกับครอบครัว ไม่พูดมากแล้วจำไม่ได้ ไม่ได้โดนฟ้องร้อง เดินสายกลาง ให้เกียรติว่าที่นายก,178,0,,,0
pantip,925,42111481,pantip_4296805,2023-07-11 02:30:16,คิดเหมือน คห. 3 ส่งแคนดิเดตมาเยอะเผื่อผลลัพธ์ที่จะออกมาหลายแบบ เชื่อว่าถ้าเพื่อไทยแลนด์สไลด์ ออ. ออกหน้าแน่นอน,110,0,,,0
pantip,926,42111487,pantip_7620528,2023-07-10 15:06:25,เวลาไหว้ ไม่ละอายใจ ท่านคงช่วยหรอกเนอะ,38,5,,,1
pantip,930,42111487,pantip_766448,2023-07-10 15:11:34,อำแหลก แกเป็นอะไรของแก๊ มันอัดอั้นขนาดนั้นทุกวันเลยเลยเหรอ พบแพทย์เหอะ,70,3,,,1
pantip,931,42111487,pantip_7585251,2023-07-10 15:21:08,น่ารักดี,8,2,,,0
pantip,932,42111487,pantip_7620528,2023-07-10 15:22:19,คนพวกนี้ ตอนนี้ให้เลียน้ำลายตัวเองที่ตกลงพื้นแล้วให้เลียกลับ ยังทำได้เลย,72,2,,,1
